Name,playerid,birth_date,PA_21,OBP_21,PA_20,OBP_20,PA_19,OBP_19,PA_18,OBP_18,PA_17,OBP_17,PA_16,OBP_16
Joshua Fuentes,16885,1993-02-19,284,0.257,103.0,0.32,56.0,0.23199999999999998,,,,,,
Jason Martin,16429,1995-09-05,154,0.248,11.0,0.182,40.0,0.325,,,,,,
Mike Tauchman,15274,1990-12-03,191,0.284,111.0,0.342,296.0,0.361,37.0,0.19399999999999998,32.0,0.344,,
Eric Sogard,7927,1986-05-22,180,0.28300000000000003,128.0,0.281,442.0,0.353,113.0,0.24100000000000002,299.0,0.39299999999999996,,
Marwin Gonzalez,5497,1989-03-14,307,0.275,199.0,0.28600000000000003,463.0,0.322,552.0,0.324,515.0,0.377,518.0,0.293
Brock Holt,9345,1988-06-11,260,0.281,106.0,0.28300000000000003,295.0,0.369,367.0,0.36200000000000004,164.0,0.305,324.0,0.322
Ryan McKenna,19928,1997-02-14,197,0.292,,,,,,,,,,
Martin Maldonado,6887,1986-08-16,426,0.272,165.0,0.35,374.0,0.293,404.0,0.276,471.0,0.276,253.0,0.332
Jake Bauers,15194,1995-10-06,315,0.29,,,423.0,0.312,388.0,0.316,,,,
Jose Marmolejos,15767,1993-01-02,122,0.262,115.0,0.261,,,,,,,,
Jonah Heim,16930,1995-06-27,285,0.239,41.0,0.268,,,,,,,,
Tomas Nido,13755,1994-04-12,161,0.261,26.0,0.34600000000000003,144.0,0.231,90.0,0.2,10.0,0.3,,
Mike Ford,15585,1992-07-04,72,0.278,84.0,0.226,163.0,0.35,,,,,,
Eli White,19346,1994-06-26,220,0.259,52.0,0.231,,,,,,,,
Isan Diaz,17922,1996-05-27,277,0.293,22.0,0.182,201.0,0.259,,,,,,
Andrew Velazquez,14196,1994-07-14,68,0.235,77.0,0.27399999999999997,24.0,0.125,12.0,0.41700000000000004,,,,
Andrelton Simmons,10847,1989-09-04,451,0.28300000000000003,127.0,0.34600000000000003,424.0,0.309,600.0,0.337,647.0,0.331,483.0,0.324
Roberto Perez,2900,1988-12-23,161,0.245,110.0,0.264,449.0,0.321,210.0,0.256,248.0,0.29100000000000004,184.0,0.285
Will Craig,19267,1994-11-16,65,0.27699999999999997,4.0,0.0,,,,,,,,
Keston Hiura,20003,1996-08-02,197,0.256,246.0,0.297,348.0,0.368,,,,,,
Kevin Newman,17696,1993-08-04,554,0.265,172.0,0.281,531.0,0.353,97.0,0.247,,,,
Jarren Duran,24617,1996-09-05,112,0.24100000000000002,,,,,,,,,,
David Dahl,13744,1994-04-01,220,0.247,99.0,0.222,413.0,0.353,271.0,0.325,,,237.0,0.359
Richie Martin,17736,1994-12-22,105,0.26899999999999996,,,309.0,0.26,,,,,,
Alan Trejo,20056,1996-05-30,50,0.26,,,,,,,,,,
Orlando Arcia,13185,1994-08-04,89,0.258,189.0,0.317,546.0,0.28300000000000003,366.0,0.268,548.0,0.324,216.0,0.273
Joe Panik,11936,1990-10-30,257,0.266,141.0,0.34,491.0,0.315,392.0,0.307,573.0,0.34700000000000003,526.0,0.315
Erik Gonzalez,13369,1991-08-31,229,0.258,193.0,0.255,156.0,0.301,143.0,0.301,115.0,0.272,17.0,0.353
Henry Ramos,11481,1992-04-15,55,0.255,,,,,,,,,,
Aramis Garcia,16925,1993-01-12,94,0.239,,,46.0,0.217,65.0,0.308,,,,
Luis Rengifo,19858,1997-02-26,190,0.24600000000000002,106.0,0.26899999999999996,406.0,0.321,,,,,,
Shogo Akiyama,27461,1988-04-16,183,0.282,183.0,0.35700000000000004,,,,,,,,
Jarrod Dyson,4866,1984-08-15,149,0.26,66.0,0.231,452.0,0.313,237.0,0.282,390.0,0.324,337.0,0.34
Steven Souza Jr.,5667,1989-04-24,36,0.222,31.0,0.258,,,272.0,0.309,617.0,0.35100000000000003,468.0,0.303
Owen Miller,24655,1996-11-15,202,0.243,,,,,,,,,,
Jake Cave,14477,1992-12-04,178,0.249,123.0,0.285,228.0,0.35100000000000003,309.0,0.313,,,,
Sam Haggerty,18054,1994-05-26,94,0.247,54.0,0.315,4.0,0.0,,,,,,
Magneuris Sierra,17023,1996-04-07,225,0.281,53.0,0.33299999999999996,42.0,0.381,156.0,0.222,64.0,0.359,,
Bryan Holaday,11287,1987-11-19,34,0.265,33.0,0.212,129.0,0.344,166.0,0.261,29.0,0.24100000000000002,129.0,0.281
Ka'ai Tom,18136,1994-05-29,133,0.278,,,,,,,,,,
Pat Valaika,14885,1992-09-09,281,0.25,150.0,0.315,86.0,0.256,133.0,0.214,195.0,0.284,19.0,0.263
Andrew Knizner,19514,1995-02-03,185,0.281,17.0,0.235,58.0,0.293,,,,,,
Tim Locastro,15124,1992-07-14,156,0.263,82.0,0.395,250.0,0.35700000000000004,14.0,0.35700000000000004,1.0,0.0,,
Cody Bellinger,15998,1995-07-13,350,0.24,243.0,0.33299999999999996,660.0,0.406,632.0,0.34299999999999997,548.0,0.35200000000000004,,
Austin Romine,5491,1988-11-22,62,0.242,135.0,0.259,240.0,0.31,265.0,0.295,252.0,0.272,176.0,0.26899999999999996
Austin Wynns,15271,1990-12-10,139,0.23199999999999998,,,74.0,0.247,118.0,0.287,,,,
Josh Palacios,19818,1995-07-30,42,0.293,,,,,,,,,,
Luke Raley,19354,1994-09-19,72,0.25,,,,,,,,,,
Tucupita Marcano,22871,1999-09-16,50,0.28,,,,,,,,,,
Rio Ruiz,14103,1994-05-22,141,0.243,204.0,0.28600000000000003,413.0,0.306,15.0,0.267,173.0,0.28300000000000003,7.0,0.28600000000000003
Cal Raleigh,21534,1996-11-26,148,0.223,,,,,,,,,,
Drew Ellis,19873,1995-12-01,83,0.27699999999999997,,,,,,,,,,
Zack Short,19562,1995-05-29,184,0.239,,,,,,,,,,
Justin Williams,15490,1995-08-20,137,0.27,6.0,0.33299999999999996,,,1.0,0.0,,,,
Patrick Mazeika,18142,1993-10-14,87,0.253,,,,,,,,,,
Austin Hedges,12976,1992-08-18,312,0.22,83.0,0.231,347.0,0.252,326.0,0.282,417.0,0.262,26.0,0.154
Ben Rortvedt,20287,1997-09-25,98,0.22899999999999998,,,,,,,,,,
Alex Jackson,17276,1995-12-25,151,0.252,7.0,0.28600000000000003,15.0,0.133,,,,,,
Scott Heineman,14453,1992-12-04,34,0.20600000000000002,54.0,0.185,85.0,0.306,,,,,,
Sandy Leon,5273,1989-03-13,220,0.237,81.0,0.29600000000000004,191.0,0.251,288.0,0.23199999999999998,301.0,0.29,283.0,0.369
Michael Perez,12977,1992-08-07,231,0.221,93.0,0.237,55.0,0.345,80.0,0.304,,,,
Jackie Bradley Jr.,12984,1990-04-19,428,0.23600000000000002,217.0,0.364,567.0,0.317,535.0,0.314,541.0,0.32299999999999995,636.0,0.349
Chad Wallach,17161,1991-11-04,66,0.242,48.0,0.27699999999999997,54.0,0.33299999999999996,52.0,0.275,11.0,0.091,,
Andrew Romine,1159,1985-12-24,64,0.23399999999999999,4.0,0.25,,,131.0,0.26,348.0,0.289,194.0,0.304
Franchy Cordero,14567,1994-09-02,136,0.237,42.0,0.28600000000000003,20.0,0.45,154.0,0.307,99.0,0.276,,
Sebastian Rivero,21735,1998-11-16,44,0.25,,,,,,,,,,
Matt Joyce,3353,1984-08-03,69,0.261,148.0,0.35100000000000003,238.0,0.408,246.0,0.322,544.0,0.335,293.0,0.40299999999999997
Wyatt Mathisen,14555,1993-12-30,51,0.255,33.0,0.364,,,,,,,,
Jay Bruce,9892,1987-04-03,39,0.231,103.0,0.252,333.0,0.261,361.0,0.31,617.0,0.324,589.0,0.309
Chris Gittens,18482,1994-02-04,44,0.25,,,,,,,,,,
Colton Welker,19961,1997-10-09,40,0.25,,,,,,,,,,
Sheldon Neuse,19635,1994-12-10,66,0.182,,,61.0,0.295,,,,,,
Tony Wolters,11470,1992-06-09,30,0.276,109.0,0.28,411.0,0.337,216.0,0.292,266.0,0.341,230.0,0.327
Jonathan Davis,15104,1992-05-12,103,0.252,34.0,0.364,95.0,0.266,27.0,0.259,,,,
Leody Taveras,18900,1998-09-08,185,0.207,134.0,0.308,,,,,,,,
Mike Freeman,11241,1987-08-04,65,0.262,43.0,0.302,213.0,0.36200000000000004,1.0,0.0,66.0,0.182,24.0,0.292
Chance Sisco,15694,1995-02-24,83,0.24100000000000002,121.0,0.364,198.0,0.33299999999999996,184.0,0.28800000000000003,22.0,0.455,,
Garrett Stubbs,18067,1993-05-26,38,0.222,10.0,0.111,39.0,0.282,,,,,,
JaCoby Jones,14818,1992-05-10,105,0.21,108.0,0.33299999999999996,333.0,0.31,467.0,0.266,154.0,0.24,28.0,0.214
Dustin Fowler,17098,1994-12-29,46,0.239,,,,,203.0,0.256,0.0,0.0,,
Gilberto Celestino,20233,1999-02-13,62,0.177,,,,,,,,,,
Matt Adams,9393,1988-08-31,40,0.25,51.0,0.21600000000000003,333.0,0.276,337.0,0.309,367.0,0.319,327.0,0.309
Evan White,20078,1996-04-26,104,0.20199999999999999,202.0,0.252,,,,,,,,
Jared Oliva,19968,1995-11-27,43,0.233,16.0,0.188,,,,,,,,
Andrew Knapp,14942,1991-11-09,159,0.215,89.0,0.40399999999999997,160.0,0.318,215.0,0.294,204.0,0.368,,
Kevan Smith,12284,1988-06-28,106,0.248,38.0,0.37799999999999995,211.0,0.318,187.0,0.348,294.0,0.309,16.0,0.125
Robel Garcia,13167,1993-03-28,117,0.21600000000000003,,,80.0,0.275,,,,,,
Jose Godoy,15808,1994-10-13,40,0.225,,,,,,,,,,
Ildemaro Vargas,13324,1991-07-16,83,0.217,54.0,0.222,211.0,0.299,20.0,0.25,13.0,0.308,,
Stevie Wilkerson,16041,1992-01-11,76,0.21100000000000002,,,361.0,0.28600000000000003,49.0,0.22399999999999998,,,,
Kean Wong,15994,1995-04-17,66,0.19399999999999998,,,18.0,0.16699999999999998,,,,,,
Jahmai Jones,18872,1997-08-04,72,0.20800000000000002,7.0,0.429,,,,,,,,
Kevin Smith,20242,1996-07-04,36,0.19399999999999998,,,,,,,,,,
Edwin Rios,18316,1994-04-21,60,0.217,83.0,0.301,56.0,0.39299999999999996,,,,,,
Jake Hager,12198,1993-03-04,30,0.233,,,,,,,,,,
Nick Heath,19577,1993-11-27,39,0.231,18.0,0.313,,,,,,,,
Domingo Leyba,16404,1995-09-11,96,0.198,,,30.0,0.36700000000000005,,,,,,
Todd Frazier,785,1986-02-12,40,0.2,172.0,0.302,499.0,0.32899999999999996,472.0,0.303,576.0,0.344,666.0,0.302
Scott Schebler,12225,1990-10-06,34,0.147,1.0,0.0,95.0,0.253,430.0,0.337,531.0,0.307,282.0,0.33
Vimael Machin,17684,1993-09-25,37,0.2,71.0,0.29600000000000004,,,,,,,,
Cristian Pache,19948,1998-11-19,68,0.152,4.0,0.25,,,,,,,,
Mickey Moniak,19956,1998-05-13,37,0.16699999999999998,18.0,0.389,,,,,,,,
Albert Almora Jr.,14109,1994-04-16,54,0.14800000000000002,34.0,0.265,363.0,0.271,479.0,0.32299999999999995,323.0,0.33799999999999997,117.0,0.308
Luis Campusano,22217,1998-09-29,38,0.184,4.0,0.5,,,,,,,,
Greg Deichmann,19872,1995-05-31,31,0.161,,,,,,,,,,
Cameron Maybin,5223,1987-04-04,33,0.182,101.0,0.307,269.0,0.364,384.0,0.326,450.0,0.318,391.0,0.38299999999999995
Curtis Terry,18881,1996-10-06,48,0.146,,,,,,,,,,
Skye Bolt,17723,1994-01-15,60,0.10300000000000001,,,11.0,0.182,,,,,,
Drew Butera,3411,1983-08-09,36,0.091,43.0,0.19,49.0,0.22899999999999998,182.0,0.264,177.0,0.284,133.0,0.32799999999999996
