"S.No","Company","Ticker","Date","Call","1-Day Change Recommendation","1-Week Change Recommendation","1-Month Change Recommendation","1-Year Change Recommendation","1-Day Change Benchmark","1-Week Change Benchmark","1-Month Change Benchmark","1-Year Change Benchmark"
10285,"Lam Research ","LRCX","13/4/2022","Buy","-3.6%","2.9%","5.8%",,"-1.3%","0.1%","-9%","0%"
10286,"Adobe Systems ","ADBE","7/11/2017","Buy","1.6%","-2.2%","-5.7%","36%","0.2%","-1.0%","2%","10%"
10287,"AutoZone ","AZO","30/5/2018","Buy","-0.9%","2.4%","2.8%","58%","-0.4%","2.4%","1%","4%"
10288,"McDonald's ","MCD","15/8/2017","Buy","0.6%","-0.1%","-0.7%","4%","-0.1%","-1.0%","1%","17%"
10289,"FedEx ","FDX","19/9/2017","Negative Mention","1.9%","-0.2%","2.1%","13%","0.0%","0.0%","3%","19%"
10290,"Zebra Technologies ","ZBRA","28/5/2020","Buy","1.3%","6.2%","-3.5%","92%","0.6%","4.9%","0%","40%"
10291,"Nike ","NKE","16/4/2019","Buy","0.9%","-0.4%","-4.7%","-2%","-0.7%","1.0%","-1%","-2%"
10292,"L3Harris Technologies ","LHX","21/10/2020","Positive Mention","-0.3%","-3.9%","14.9%","47%","0.5%","-4.2%","4%","33%"
10293,"Delta Air Lines ","DAL","17/10/2017","Buy","0.0%","-1.2%","-5.2%","3%","-0.1%","-0.2%","1%","10%"
10294,"Sirius XM Radio ","SIRI","30/6/2020","Buy","0.2%","-1.9%","-0.2%","13%","0.3%","1.8%","5%","41%"
10295,"Estee Lauder ","EL","24/4/2019","Buy","-0.2%","-0.1%","-2.2%","-1%","0.0%","-0.3%","-4%","-1%"
10296,"Alphabet ","GOOGL","17/2/2017","Positive Mention","0.2%","0.0%","2.2%","30%","0.4%","0.3%","1%","17%"
10297,"Starbucks ","SBUX","11/10/2016","Negative Mention","0.3%","0.0%","1.4%","7%","0.1%","0.3%","1%","22%"
10298,"Deere & Company ","DE","6/11/2017","Buy","0.1%","-2.1%","11.3%","11%","-0.1%","-0.4%","2%","11%"
10299,"Cara Therapeutics ","CARA","20/3/2018","Positive Mention","4.5%","-1.4%","0.2%","59%","-0.2%","-3.9%","-1%","7%"
10300,"Potash ","POT","18/7/2017","Buy","1.6%","-1.5%","-4.1%",,"0.4%","0.2%","-2%","15%"
10301,"Nordson ","NDSN","2/3/2017","Buy","0.9%","-0.6%","-2.4%","10%","0.1%","-0.3%","-1%","16%"
10302,"DraftKings ","DKNG","17/7/2020","Buy","0.0%","-0.8%","-2.1%","26%","0.9%","-0.3%","4%","33%"
10303,"AMC Entertainment ","AMC","24/2/2022","Sell","-0.3%","-6.2%","66.1%",,"1.9%","-1.3%","4%","0%"
10304,"Pepsico ","PEP","8/3/2018","Buy","0.2%","-0.8%","-2.8%","7%","1.1%","-1.3%","-6%","2%"
10305,"Danaher ","DHR","22/7/2019","Buy","0.5%","0.1%","-2.1%","38%","0.3%","0.2%","-3%","11%"
10306,"Deere & Company ","DE","4/12/2019","Positive Mention","-0.6%","5.6%","7.9%","57%","-0.1%","1.6%","4%","21%"
10307,"AEO ","AEO","7/12/2016","Sell","2.1%","-7.8%","-16.8%","-1%","0.3%","0.7%","1%","20%"
10308,"IBM ","IBM","18/10/2017","Buy","0.7%","-4.5%","-5.5%","-16%","0.4%","-0.1%","1%","10%"
10309,"Domino's Pizza ","DPZ","12/10/2017","Buy","-4.2%","-3.6%","-10.3%","43%","-0.1%","0.8%","1%","10%"
10310,"Honeywell ","HON","31/7/2018","Positive Mention","-1.9%","-1.1%","1.9%","15%","-0.2%","1.6%","3%","7%"
10311,"Weibo ","WB","23/5/2017","Negative Mention","-2.3%","-2.4%","-3.9%","36%","0.1%","0.3%","2%","16%"
10312,"Skyworks Solutions ","SWKS","15/9/2016","Buy","-1.4%","-1.7%","0.8%","43%","-0.1%","1.2%","0%","19%"
10313,"General Motors ","GM","28/3/2017","Positive Mention","-0.2%","-4.3%","-2.5%","6%","0.2%","-0.3%","1%","14%"
10314,"Qualcomm ","QCOM","22/5/2017","Buy","-0.3%","-2.2%","-3.7%","3%","0.0%","0.6%","2%","16%"
10315,"Exelixis ","EXEL","17/1/2017","Negative Mention","1.1%","2.3%","28.3%","55%","0.1%","1.2%","4%","25%"
10316,"Starbucks ","SBUX","22/11/2019","Buy","0.7%","1.0%","5.3%","18%","0.4%","-0.6%","3%","16%"
10317,"Union Pacific ","UNP","5/9/2019","Positive Mention","-1.1%","4.2%","-5.3%","17%","0.0%","1.0%","-1%","14%"
10318,"Bristol-Myers Squibb ","BMY","17/6/2016","Buy","-0.5%","-0.9%","7.6%","-20%","-0.5%","-4.0%","4%","20%"
10319,"McCormick ","MKC","21/6/2019","Buy","-0.3%","1.0%","3.4%","14%","-0.2%","0.7%","1%","8%"
10320,"Sherwin-Williams ","SHW","3/10/2017","Positive Mention","-0.2%","2.4%","6.1%","18%","0.2%","0.7%","2%","16%"
10321,"Under Armour ","UAA","27/4/2018","Buy","-0.6%","0.6%","16.3%","29%","-1.0%","0.9%","2%","13%"
10322,"Medical Properties Trust ","MPW","12/8/2019","Sell","-0.1%","2.2%","7.6%","15%","1.7%","-0.8%","3%","18%"
10323,"Exact Sciences ","EXAS","1/2/2022","Positive Mention","-2.2%","8.8%","-6.7%",,"0.4%","0.0%","-6%","0%"
10324,"American Airlines ","AAL","17/7/2020","Negative Mention","-3.9%","-0.7%","10.0%","65%","0.9%","-0.3%","4%","33%"
10325,"Alteryx ","AYX","25/11/2019","Buy","3.2%","-2.0%","-6.7%","6%","0.2%","-1.4%","3%","18%"
10326,"Netflix ","NFLX","24/9/2018","Positive Mention","-0.2%","2.1%","-15.3%","-28%","-0.3%","0.3%","-7%","4%"
10327,"Southwestern Energy ","SWN","11/7/2017","Positive Mention","-3.2%","5.9%","-7.8%","-8%","0.3%","1.2%","0%","17%"
10328,"Henry Schein ","HSIC","1/12/2016","Buy","0.0%","1.8%","4.3%","-5%","0.0%","3.1%","3%","23%"
10329,"Raytheon ","RTN","2/8/2018","Buy","-0.9%","0.3%","1.3%","-6%","0.4%","-0.2%","2%","2%"
10330,"Lennar ","LEN","22/3/2019","Positive Mention","3.4%","-1.3%","5.1%","-41%","0.1%","2.4%","4%","-18%"
10331,"T-Mobile US ","TMUS","5/9/2019","Buy","1.5%","0.3%","-0.8%","41%","0.0%","1.0%","-1%","14%"
10332,"3M ","MMM","11/9/2017","Buy","-0.1%","1.9%","3.8%","1%","0.2%","0.5%","2%","18%"
10333,"New York Mortgage Trust ","NYMT","1/6/2016","Sell","1.8%","3.8%","2.1%","20%","0.5%","0.6%","-1%","18%"
10334,"Lordstown Motors ","RIDE","5/8/2021","Sell","-1.2%","-9.4%","7.9%","-56%","0.1%","0.8%","2%","-5%"
10335,"Corsair Gaming ","CRSR","12/1/2021","Negative Mention","0.3%","-14.7%","2.0%","-51%","0.3%","1.1%","3%","24%"
10336,"IBM ","IBM","19/4/2016","Positive Mention","1.3%","3.0%","1.7%","15%","0.1%","-0.4%","-2%","14%"
10337,"Gannett ","GCI","13/12/2019","Sell","0.7%","5.8%","0.2%","-57%","0.1%","1.0%","3%","16%"
10338,"Macy's ","M","17/8/2018","Positive Mention","5.9%","-5.1%","-7.0%","-55%","0.0%","1.4%","1%","4%"
10339,"Apple ","AAPL","24/1/2018","Buy","-1.9%","-1.9%","5.0%","-6%","-0.3%","-0.6%","-2%","-4%"
10340,"XPO Logistics ","XPO","12/6/2018","Buy","-0.9%","-0.3%","-10.2%","-49%","-0.4%","-0.3%","1%","6%"
10341,"Alibaba ","BABA","27/9/2016","Positive Mention","0.3%","-1.6%","-6.3%","57%","0.4%","-0.5%","-2%","18%"
10342,"PayPal ","PYPL","2/11/2017","Buy","1.4%","0.8%","-3.3%","15%","0.3%","-0.1%","2%","8%"
10343,"Halliburton ","HAL","24/4/2019","Sell","-3.1%","-5.1%","-21.3%","-69%","0.0%","-0.3%","-4%","-1%"
10344,"Whirlpool ","WHR","3/5/2021","Buy","0.9%","1.1%","-3.4%","-16%","-0.1%","-0.3%","1%","5%"
10345,"Spero Therapeutics ","SPRO","20/1/2022","Sell","-3.9%","-4.4%","-21.8%",,"-1.7%","0.9%","-2%","0%"
10346,"Pegasystems ","PEGA","2/3/2020","Buy","-0.6%","-7.3%","-27.6%","38%","-3.0%","-3.9%","-16%","29%"
10347,"Microsoft ","MSFT","7/6/2017","Buy","-0.8%","-2.8%","-2.7%","44%","0.0%","0.0%","0%","16%"
10348,"First Data ","FDC","30/4/2018","Buy","0.6%","5.0%","4.2%","40%","0.4%","0.7%","2%","12%"
10349,"FedEx ","FDX","12/6/2018","Buy","-1.1%","-4.4%","-10.9%","-36%","-0.4%","-0.3%","1%","6%"
10350,"Exelon ","EXC","22/12/2021","Buy","0.1%","5.2%","3.0%","14%","0.4%","1.2%","-7%","-17%"
10351,"McDonald's ","MCD","3/3/2021","Positive Mention","-0.6%","3.3%","11.7%","18%","-1.2%","4.5%","8%","16%"
10352,"Take-Two Interactive ","TTWO","20/5/2019","Buy","0.6%","2.7%","7.5%","42%","0.2%","-2.2%","3%","6%"
10353,"Johnson Controls ","JCI","4/10/2018","Sell","-0.3%","-9.2%","-8.9%","20%","-0.6%","-4.1%","-5%","4%"
10354,"Viacom ","VIAB","9/8/2018","Buy","-0.2%","1.3%","-4.2%","-3%","-0.1%","0.7%","2%","4%"
10355,"Caterpillar ","CAT","10/4/2017","Buy","-0.2%","-2.8%","4.9%","55%","0.1%","-0.5%","2%","14%"
10356,"Chicago Mercantile Exchan ","CME","28/10/2019","Buy","0.0%","-2.0%","0.9%","-23%","0.1%","1.3%","4%","10%"
10357,"Ulta Beauty ","ULTA","19/3/2019","Buy","-1.3%","4.6%","5.0%","-56%","-0.2%","-0.7%","3%","-13%"
10358,"Nike ","NKE","25/2/2019","Buy","0.6%","-0.2%","-1.8%","8%","0.1%","-0.1%","1%","14%"
10359,"Costco ","COST","11/5/2020","Buy","-1.9%","-0.1%","-1.3%","26%","-2.4%","1.8%","5%","44%"
10360,"Advanced Micro Devices ","AMD","31/7/2019","Buy","-2.1%","13.6%","3.5%","159%","-0.9%","-0.4%","-1%","13%"
10361,"Honeywell ","HON","25/8/2020","Buy","0.3%","4.3%","-2.3%","42%","0.8%","2.9%","-5%","30%"
10362,"Apple ","AAPL","26/1/2017","Buy","-0.2%","5.8%","12.8%","40%","-0.2%","0.2%","4%","27%"
10363,"Oracle ","ORCL","10/3/2017","Positive Mention","-0.4%","6.2%","3.8%","26%","0.1%","0.0%","-1%","19%"
10364,"United Technologies ","UTX","21/5/2018","Buy","-0.3%","-2.2%","-3.4%","8%","-0.5%","-1.3%","1%","7%"
10365,"Honeywell ","HON","13/12/2019","Buy","-0.5%","0.0%","2.8%","23%","0.1%","1.0%","3%","16%"
10366,"Goldman Sachs ","GS","25/4/2019","Positive Mention","0.7%","2.2%","-6.7%","-8%","0.4%","0.2%","-5%","0%"
10367,"Acushnet 0ings ","GOLF","20/10/2017","Negative Mention","-0.8%","-0.5%","5.2%","37%","-0.5%","0.2%","1%","9%"
10368,"Apple ","AAPL","5/11/2018","Buy","0.9%","-5.3%","-14.0%","28%","0.7%","-1.1%","-2%","14%"
10369,"Banco Santander ","SAN","22/3/2017","Buy","0.0%","-0.2%","5.7%","9%","-0.1%","1.0%","1%","12%"
10370,"Constellation Brands ","STZ","5/1/2017","Buy","1.7%","-0.1%","0.2%","47%","0.3%","-0.1%","1%","23%"
10371,"Proto Labs ","PRLB","8/5/2017","Buy","0.7%","3.0%","9.2%","100%","-0.2%","0.3%","2%","15%"
10372,"Enterprise Products Partn ","EPD","19/10/2021","Buy","0.7%","-3.3%","-10.4%","9%","0.3%","0.3%","4%","-18%"
10373,"AEO ","AEO","15/10/2021","Buy","4.0%","-3.4%","6.6%","-59%","0.7%","1.9%","5%","-17%"
10374,"Intuit ","INTU","14/7/2016","Buy","-1.4%","-0.8%","-1.4%","17%","-0.4%","0.7%","2%","16%"
10375,"Owens Corning ","OC","14/12/2017","Negative Mention","1.6%","4.4%","7.4%","-50%","0.4%","0.4%","4%","-3%"
10376,"Pepsico ","PEP","5/2/2021","Buy","-0.6%","-4.3%","-5.1%","26%","0.3%","0.5%","-2%","16%"
10377,"Apple ","AAPL","17/9/2019","Buy","0.8%","-0.8%","6.1%","100%","0.2%","-0.7%","-1%","14%"
10378,"Lockheed Martin ","LMT","20/1/2017","Negative Mention","-0.3%","-1.8%","3.2%","31%","-0.3%","0.6%","5%","27%"
10379,"Dunkin Brands ","DNKN","14/11/2016","Positive Mention","2.1%","7.0%","7.2%","17%","0.6%","1.1%","4%","20%"
10380,"Mastercard ","MA","8/8/2018","Buy","0.2%","0.0%","4.0%","36%","-0.2%","-0.4%","1%","4%"
10381,"General Electric ","GE","22/4/2016","Buy","-0.4%","0.7%","-3.9%","-1%","0.2%","-0.3%","-2%","16%"
10382,"Salesforce ","CRM","5/1/2022","Buy","0.5%","-0.2%","-5.3%",,"0.0%","-0.7%","-4%","0%"
10383,"Stitch Fix ","SFIX","15/1/2020","Buy","2.1%","-8.1%","9.7%","193%","0.4%","0.2%","2%","16%"
10384,"CenturyLink ","CTL","20/11/2018","Sell","-1.0%","5.2%","-16.3%","-11%","-0.3%","3.6%","-9%","19%"
10385,"Petco Health & Wellness ","WOOF","14/5/2021","Buy","3.6%","-4.0%","9.6%","-28%","0.0%","0.9%","2%","-2%"
10386,"Antero Midstream Partners ","AM","8/1/2018","Buy","0.2%","2.7%","-9.1%","-16%","0.1%","0.9%","-6%","-4%"
10387,"Plug Power ","PLUG","24/8/2020","Positive Mention","4.0%","10.0%","-12.5%","106%","0.2%","2.5%","-6%","32%"
10388,"Hormel Foods ","HRL","15/2/2019","Positive Mention","0.1%","-1.8%","-1.7%","14%","0.5%","0.6%","2%","23%"
10389,"Tyson Foods ","TSN","21/5/2018","Negative Mention","-0.2%","3.7%","2.5%","22%","-0.5%","-1.3%","1%","7%"
10390,"Micron Technology ","MU","27/9/2017","Buy","2.2%","3.7%","9.7%","19%","0.2%","1.7%","3%","18%"
10391,"Nucor ","NUE","7/10/2021","Buy","-1.2%","3.9%","18.6%","23%","-0.4%","1.8%","7%","-17%"
10392,"Federal Realty Investment ","FRT","21/6/2018","Buy","1.4%","0.7%","-0.9%","9%","-0.3%","-1.3%","2%","9%"
10393,"Dexcom ","DXCM","14/1/2020","Buy","-0.5%","0.6%","21.2%","50%","0.3%","1.0%","3%","18%"
10394,"Medtronic ","MDT","5/6/2018","Buy","0.5%","-1.6%","-0.1%","13%","0.6%","0.2%","0%","5%"
10395,"Dish Network ","DISH","23/2/2021","Sell","1.3%","7.1%","15.0%","-6%","1.4%","-2.6%","1%","11%"
10396,"Diamondback Energy ","FANG","26/1/2018","Buy","-1.0%","-6.8%","-1.0%","-22%","-0.4%","-7.3%","-2%","-6%"
10397,"T-Mobile US ","TMUS","25/10/2016","Positive Mention","-0.4%","-0.6%","10.3%","25%","0.2%","-1.9%","4%","22%"
10398,"AquaBounty Technologies ","AQB","10/6/2021","Buy","-1.8%","-4.3%","-13.3%","-74%","0.0%","-1.9%","3%","-10%"
10399,"Consolidated Edison ","ED","7/3/2018","Buy","1.0%","1.7%","4.2%","15%","0.2%","0.3%","-4%","2%"
10400,"CSX ","CSX","7/10/2016","Negative Mention","-0.9%","0.6%","4.0%","74%","0.0%","-1.7%","-1%","20%"
10401,"American Electric Power ","AEP","30/1/2018","Buy","0.5%","-6.3%","-4.3%","19%","-0.3%","-5.0%","-5%","-2%"
10402,"Adobe Systems ","ADBE","18/9/2019","Buy","0.4%","0.9%","-5.1%","66%","-0.1%","-0.9%","0%","12%"
10403,"PVH Corp ","PVH","30/5/2018","Buy","2.7%","3.2%","-7.2%","-47%","-0.4%","2.4%","1%","4%"
10404,"Devon Energy ","DVN","11/8/2021","Buy","1.5%","-11.0%","3.4%","147%","0.3%","-1.2%","0%","-3%"
10405,"Caterpillar ","CAT","16/11/2016","Positive Mention","-0.8%","3.3%","-0.1%","51%","0.4%","1.2%","4%","20%"
10406,"Walmart ","WMT","21/8/2019","Buy","-0.3%","1.9%","5.1%","20%","-0.3%","0.1%","2%","18%"
10407,"Campbell Soup ","CPB","22/6/2020","Buy","-1.6%","1.1%","1.8%","-5%","-0.5%","-1.2%","3%","37%"
10408,"Citigroup ","C","15/10/2020","Sell","-1.1%","1.8%","18.1%","72%","-0.5%","-0.4%","4%","31%"
10409,"Tilray ","TLRY","12/4/2022","Positive Mention","2.9%","-15.7%","-29.3%",,"1.2%","0.3%","-9%","0%"
10410,"United Continental ","UAL","15/12/2016","Positive Mention","-0.7%","0.5%","-0.9%","-13%","-0.4%","0.3%","1%","21%"
10411,"Ambarella ","AMBA","11/3/2019","Buy","0.3%","-0.5%","6.1%","0%","0.2%","1.5%","4%","0%"
10412,"Edwards Lifesciences ","EW","1/6/2016","Buy","2.1%","0.4%","-2.4%","15%","0.5%","0.6%","-1%","18%"
10413,"Johnson & Johnson ","JNJ","16/4/2021","Positive Mention","0.1%","0.9%","4.7%","12%","-0.3%","0.6%","0%","7%"
10414,"Etsy ","ETSY","1/10/2018","Buy","-5.0%","-11.1%","-8.5%","13%","0.0%","-1.4%","-6%","1%"
10415,"Home Depot ","HD","6/9/2019","Buy","0.6%","-0.8%","-2.6%","18%","-0.3%","0.7%","-1%","14%"
10416,"Service Corp ","SCI","25/9/2018","Buy","0.0%","0.8%","-2.1%","9%","-0.4%","0.6%","-8%","5%"
10417,"Zillow Group ","ZG","2/3/2021","Buy","-9.6%","-2.6%","-10.3%","-65%","-1.1%","2.1%","7%","16%"
10418,"United Technologies ","UTX","17/9/2018","Buy","1.2%","0.1%","-7.6%","1%","0.5%","0.4%","-5%","6%"
10419,"American Tower ","AMT","16/5/2016","Buy","-1.2%","-0.1%","2.7%","27%","-0.8%","1.5%","2%","18%"
10420,"Columbia Sportswear ","COLM","7/1/2020","Buy","-0.1%","-3.5%","-9.9%","-11%","0.5%","1.2%","2%","19%"
10421,"UnitedHealth Group ","UNH","15/8/2017","Buy","-0.5%","0.2%","2.7%","38%","-0.1%","-1.0%","1%","17%"
10422,"Block ","SQ","16/11/2021","Buy","-2.9%","-7.0%","-27.9%","-71%","-0.2%","0.3%","-1%","-15%"
10423,"Comcast ","CMCSA","27/1/2020","Buy","-0.1%","0.5%","-6.8%","12%","0.6%","0.7%","-9%","17%"
10424,"Boeing ","BA","5/11/2019","Positive Mention","-1.3%","2.9%","0.5%","-55%","0.0%","0.7%","3%","16%"
10425,"Universal Health Services ","UHS","31/7/2019","Buy","-2.6%","-0.5%","-0.7%","-25%","-0.9%","-0.4%","-1%","13%"
10426,"T. Rowe Price ","TROW","22/4/2020","Buy","-1.6%","16.6%","21.1%","85%","-0.5%","4.1%","7%","52%"
10427,"Kohl's ","KSS","29/6/2016","Negative Mention","0.3%","0.9%","8.5%","7%","1.1%","0.0%","4%","18%"
10428,"Under Armour ","UAA","8/1/2019","Buy","1.7%","2.0%","8.0%","3%","0.2%","1.2%","5%","29%"
10429,"Deckers Brands ","DECK","8/6/2017","Negative Mention","1.0%","-1.9%","-4.2%","73%","-0.3%","0.2%","0%","17%"
10430,"Asbury Automotive Group ","ABG","22/7/2021","Positive Mention","0.5%","4.6%","-3.8%","-16%","0.6%","-0.3%","2%","-9%"
10431,"Lowe's ","LOW","18/11/2016","Negative Mention","0.0%","2.6%","5.1%","20%","0.4%","0.1%","3%","20%"
10432,"Visa ","V","1/8/2017","Buy","0.2%","-0.3%","2.8%","38%","0.0%","-0.1%","0%","16%"
10433,"Southwest Airlines ","LUV","18/9/2018","Buy","-0.1%","-1.6%","-7.9%","-12%","0.1%","0.0%","-5%","5%"
10434,"Centene ","CNC","8/6/2018","Negative Mention","1.6%","2.5%","6.0%","-10%","0.0%","-0.3%","0%","6%"
10435,"Estee Lauder ","EL","27/4/2021","Buy","-0.2%","-6.7%","-2.7%","-13%","-0.1%","-0.4%","1%","4%"
10436,"Honeywell ","HON","10/11/2020","Buy","-1.5%","1.4%","8.2%","13%","0.1%","-0.1%","3%","32%"
10437,"Norfolk Southern ","NSC","2/2/2021","Buy","-0.2%","0.0%","4.4%","14%","-0.2%","2.2%","0%","19%"
10438,"REGENXBIO ","RGNX","13/9/2019","Buy","5.1%","-7.2%","-12.9%","-28%","0.1%","-0.2%","-1%","15%"
10439,"McCormick ","MKC","18/10/2016","Buy","-0.8%","1.3%","-3.2%","8%","0.1%","-0.3%","2%","22%"
10440,"HubSpot ","HUBS","31/1/2019","Buy","0.7%","3.6%","2.7%","15%","0.0%","0.2%","3%","22%"
10441,"Ralph Lauren ","RL","1/3/2021","Buy","0.9%","2.7%","-1.4%","8%","-0.8%","0.2%","4%","15%"
10442,"Gilead Sciences ","GILD","5/8/2019","Negative Mention","0.8%","0.5%","0.1%","12%","0.7%","1.7%","3%","18%"
10443,"Rio Tinto ","RIO","12/1/2022","Buy","-0.7%","0.7%","3.6%",,"-1.6%","-3.8%","-5%","0%"
10444,"Lowe's ","LOW","18/11/2021","Positive Mention","0.7%","-0.7%","-1.6%","-14%","-0.2%","-2.1%","-3%","-15%"
10445,"United Technologies ","UTX","26/7/2016","Buy","-0.3%","-1.3%","0.3%","13%","-0.3%","-0.2%","0%","16%"
10446,"American Electric Power ","AEP","29/4/2016","Buy","1.2%","2.3%","1.4%","9%","0.5%","-1.0%","1%","17%"
10447,"Boot Barn ","BOOT","5/2/2020","Buy","-4.5%","-7.8%","-47.3%","66%","0.0%","0.9%","-18%","18%"
10448,"General Mills ","GIS","13/4/2017","Negative Mention","0.6%","0.2%","-2.2%","-18%","0.6%","0.0%","2%","16%"
10449,"Walt Disney ","DIS","25/1/2017","Buy","-0.1%","2.4%","2.0%","5%","0.0%","-0.7%","3%","27%"
10450,"Johnson & Johnson ","JNJ","6/10/2020","Buy","0.9%","0.1%","-3.8%","12%","0.8%","2.1%","3%","31%"
10451,"Macy's ","M","30/8/2016","Positive Mention","-5.4%","2.8%","3.5%","-40%","-0.1%","0.7%","0%","16%"
10452,"CyberArk Software ","CYBR","27/9/2016","Positive Mention","-1.1%","0.3%","-8.0%","-19%","0.4%","-0.5%","-2%","18%"
10453,"Lockheed Martin ","LMT","12/7/2016","Buy","0.3%","0.3%","3.2%","15%","-0.2%","1.0%","2%","16%"
10454,"3M ","MMM","6/6/2018","Buy","0.4%","-0.7%","-2.2%","-16%","-0.2%","0.5%","1%","6%"
10455,"Apple ","AAPL","4/5/2017","Buy","1.5%","5.2%","3.8%","26%","0.2%","-0.3%","2%","13%"
10456,"Under Armour ","UA","27/1/2017","Negative Mention","-1.8%","-27.7%","-23.2%","-47%","-0.3%","0.6%","4%","28%"
10457,"Apple ","AAPL","2/1/2018","Buy","-0.2%","1.2%","-6.8%","-16%","0.6%","1.3%","2%","-8%"
10458,"Biogen Idec ","BIIB","25/4/2019","Positive Mention","0.1%","0.3%","-2.2%","32%","0.4%","0.2%","-5%","0%"
10459,"Aimmune Therapeutics ","AIMT","23/4/2018","Buy","-1.0%","-1.1%","4.8%","-34%","-1.8%","0.8%","4%","13%"
10460,"Tupperware ","TUP","5/9/2018","Sell","-1.0%","4.4%","4.8%","-54%","-0.3%","0.9%","0%","5%"
10461,"Yext ","YEXT","4/12/2017","Buy","-0.9%","-4.2%","-7.9%","22%","0.0%","1.4%","4%","4%"
10462,"Alibaba ","BABA","8/2/2021","Positive Mention","1.3%","1.6%","-9.6%","-53%","0.2%","0.5%","1%","19%"
10463,"Wendy's ","WEN","3/5/2022","Sell","0.6%","-17.0%","-1.8%",,"2.9%","-8.5%","-4%","0%"
10464,"JPMorgan Chase ","JPM","19/1/2017","Positive Mention","0.3%","3.9%","8.8%","40%","0.0%","1.0%","4%","27%"
10465,"Idexx Laboratories ","IDXX","26/2/2018","Buy","0.9%","1.4%","1.8%","11%","-1.3%","-0.6%","-4%","4%"
10466,"Take-Two Interactive ","TTWO","24/4/2018","Positive Mention","-0.3%","9.0%","16.4%","-3%","0.3%","-0.2%","3%","13%"
10467,"Ventas ","VTR","30/4/2018","Buy","1.8%","0.8%","4.3%","23%","0.4%","0.7%","2%","12%"
10468,"Church & Dwight ","CHD","3/1/2019","Buy","1.0%","3.2%","0.5%","10%","1.9%","2.6%","8%","31%"
10469,"PNC Financial ","PNC","13/4/2017","Positive Mention","2.1%","-0.2%","3.2%","24%","0.6%","0.0%","2%","16%"
10470,"Skyworks Solutions ","SWKS","23/1/2017","Buy","2.2%","-0.3%","3.6%","7%","0.5%","0.0%","4%","27%"
10471,"Cullen Frost Bankers ","CFR","1/5/2018","Buy","-0.8%","2.7%","1.2%","-9%","-0.6%","2.4%","4%","13%"
10472,"NVIDIA ","NVDA","11/12/2018","Negative Mention","0.3%","-7.0%","0.0%","51%","-0.8%","-5.3%","-2%","22%"
10473,"AeroVironment ","AVAV","8/4/2022","Buy","4.4%","-0.3%","-29.7%",,"-0.9%","-0.4%","-9%","0%"
10474,"Skyworks Solutions ","SWKS","22/2/2017","Buy","-1.6%","-0.6%","2.0%","15%","-0.2%","0.8%","-1%","18%"
10475,"Home Depot ","HD","19/12/2016","Buy","1.1%","-1.3%","-1.3%","40%","0.1%","-0.1%","0%","20%"
10476,"Kraft Heinz ","KHC","3/4/2019","Negative Mention","1.2%","0.9%","0.2%","-18%","0.1%","0.4%","2%","-12%"
10477,"Lockheed Martin ","LMT","29/4/2016","Buy","0.2%","3.0%","2.0%","18%","0.5%","-1.0%","1%","17%"
10478,"Visa ","V","23/8/2018","Buy","1.3%","1.9%","3.4%","24%","0.4%","1.0%","2%","2%"
10479,"FedEx ","FDX","26/11/2019","Buy","-0.1%","-4.7%","-5.2%","81%","0.3%","-1.3%","3%","18%"
10480,"Duke Energy ","DUK","30/1/2018","Negative Mention","0.9%","-5.2%","-2.9%","17%","-0.3%","-5.0%","-5%","-2%"
10481,"Alphabet ","GOOGL","10/5/2016","Buy","-1.3%","-1.2%","0.4%","31%","-0.7%","-0.8%","2%","18%"
10482,"General Electric ","GE","14/4/2022","Buy","-0.6%","-1.5%","-17.4%",,"0.3%","-2.7%","-9%","0%"
10483,"Nike ","NKE","15/1/2019","Buy","-0.4%","3.6%","9.9%","34%","0.1%","0.9%","6%","29%"
10484,"Norwegian Cruise Line ","NCLH","11/11/2019","Buy","-1.4%","4.7%","9.5%","-62%","0.1%","0.9%","3%","18%"
10485,"Alphabet ","GOOGL","2/8/2017","Buy","-0.9%","-1.8%","0.1%","32%","-0.1%","-1.3%","0%","17%"
10486,"Dexcom ","DXCM","7/2/2020","Buy","2.6%","19.9%","7.9%","63%","1.0%","0.6%","-18%","19%"
10487,"Scorpio Tankers ","STNG","15/7/2020","Negative Mention","-2.8%","4.9%","4.6%","34%","0.3%","0.7%","5%","36%"
10488,"Sprouts Farmers Market ","SFM","3/1/2017","Sell","-0.2%","-0.7%","-3.6%","24%","0.4%","0.2%","1%","22%"
10489,"Citigroup ","C","19/7/2021","Negative Mention","1.7%","2.5%","6.1%","-18%","1.3%","1.8%","2%","-7%"
10490,"IBM ","IBM","4/1/2019","Negative Mention","0.6%","1.9%","14.4%","19%","0.7%","1.2%","7%","30%"
10491,"Abbott Laboratories ","ABT","12/10/2021","Buy","-0.4%","5.8%","10.2%","-11%","0.1%","4.0%","7%","-15%"
10492,"3M ","MMM","24/10/2017","Buy","1.2%","-3.2%","-2.3%","-20%","-0.3%","0.9%","2%","8%"
10493,"VMware ","VMW","28/10/2019","Positive Mention","1.8%","2.3%","-2.4%","-19%","0.1%","1.3%","4%","10%"
10494,"Vertex Pharmaceuticals ","VRTX","4/1/2022","Buy","-0.4%","2.1%","9.3%",,"-1.8%","0.6%","-4%","0%"
